abn,isCurrent,replacedFrom,entityStatus,effectiveFrom,effectiveTo,entityTypeCode,entityDescription,acnc_status,acnc_status_from,acnc_status_to,record_last_updated,gst,dgr,main_trading_names,other_trading_names,main_business_physical_address,tax_concession_endorsements
87012293277,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-10,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2014-01-11"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
38060125340,Y,0001-01-01,Active,1999-11-01,0001-01-01,PUB,Australian Public Company,Registered,2012-12-03,0001-01-01,2024-03-21,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}","{""endorsedFrom"": ""2000-07-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}","{""organisationName"": ""VALMAR SUPPORT SERVICES LTD"", ""effectiveFrom"": ""2000-03-13""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2020-08-10"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
82232776832,Y,0001-01-01,Active,2000-06-09,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-10,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}",,"{""organisationName"": ""TUMUT AND DISTRICT NEIGHBOURHOOD CENTRE INC"", ""effectiveFrom"": ""2008-08-06""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2014-09-22"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
83626411090,Y,0001-01-01,Active,2013-11-21,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,"{""effectiveFrom"": ""2013-11-21"", ""effectiveTo"": ""0001-01-01""}",,,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2015-02-26"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2012-12-03"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2012-12-03"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2012-12-03"", ""effectiveTo"": ""0001-01-01""}]"
84042249591,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2017-03-28,0001-01-01,2018-09-28,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}","{""endorsedFrom"": ""2005-07-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}","{""organisationName"": ""BRUNGLE/TUMUT LOCAL ABORIGINAL LAND COUNCIL"", ""effectiveFrom"": ""2008-11-18""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2014-09-18"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}]"
94332248153,Y,0001-01-01,Active,2000-04-15,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}","{""endorsedFrom"": ""2000-07-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}",,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2015-09-17"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
33108337408,Y,0001-01-01,Active,2004-03-12,0001-01-01,PUB,Australian Public Company,Registered,2012-12-03,0001-01-01,2025-04-28,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2004-03-12"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2004-03-12"", ""effectiveTo"": ""0001-01-01""}]"
64685402699,Y,0001-01-01,Active,2025-03-17,0001-01-01,PUB,Australian Public Company,Registered,2025-03-17,0001-01-01,2025-05-30,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2025-03-17"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2025-03-17"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2025-03-17"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2025-03-17"", ""effectiveTo"": ""0001-01-01""}]"
67808562943,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-10,,,"{""organisationName"": ""TUMUT AND DISTRICT HISTORICAL SOCIETYINCORPORATED"", ""effectiveFrom"": ""2000-11-02""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2000-11-02"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
69082267315,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2024-08-10,,,"{""organisationName"": ""FRANKLIN PUBLIC SCHOOL P&C ASSOCIATION"", ""effectiveFrom"": ""2000-06-19""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2000-06-19"", ""effectiveTo"": ""0001-01-01""}","{""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}"
75121696089,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,,"{""organisationName"": ""TALBINGO P&C ASSOCIATION"", ""effectiveFrom"": ""2000-06-02""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2000-06-02"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
83240726501,Y,0001-01-01,Active,2005-01-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2023-07-01,0001-01-01,2023-10-05,,,"{""organisationName"": ""Tumut & District Woodworkers Club Inc"", ""effectiveFrom"": ""2005-01-01""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2013-07-22"", ""effectiveTo"": ""0001-01-01""}","{""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2023-07-01"", ""effectiveTo"": ""0001-01-01""}"
30460750299,Y,0001-01-01,Active,2023-02-23,0001-01-01,OIE,Other Incorporated Entity,Registered,2023-02-23,0001-01-01,2024-05-09,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2023-02-23"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2023-02-23"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2023-02-23"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2023-02-23"", ""effectiveTo"": ""0001-01-01""}]"
41803174166,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2025-03-18,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}",,,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2016-09-12"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
45941425238,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2024-02-01,"{""effectiveFrom"": ""2003-04-01"", ""effectiveTo"": ""0001-01-01""}","{""endorsedFrom"": ""2024-01-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}","{""organisationName"": ""MONTREAL COMMUNITY THEATRE INC"", ""effectiveFrom"": ""2000-06-21""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2016-06-06"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2014-01-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2014-01-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2014-01-01"", ""effectiveTo"": ""0001-01-01""}]"
94072081774,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-10,,,"{""organisationName"": ""MCAULEY CATHOLIC CENTRAL SCHOOL TUMUT P&F ASSOCIATION"", ""effectiveFrom"": ""2000-11-28""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2000-05-17"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
18981041602,Y,0001-01-01,Active,2000-04-03,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,,"{""organisationName"": ""TUMUT HIGH SCHOOL CANTEEN"", ""effectiveFrom"": ""2005-06-16""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2017-10-24"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
56573879342,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-10,,,"{""organisationName"": ""TUMUT PUBLIC SCHOOL P&C ASSOC"", ""effectiveFrom"": ""2000-06-13""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2000-06-13"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}]"
73877964532,Y,0001-01-01,Active,1999-11-01,0001-01-01,PUB,Australian Public Company,Registered,2012-12-03,0001-01-01,2025-08-26,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}","{""endorsedFrom"": ""2000-07-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}",,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2015-01-20"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
43587076446,Y,0001-01-01,Active,2004-03-12,0001-01-01,DIT,Discretionary Investment Trust,Registered,2012-12-03,0001-01-01,2019-04-10,,"{""endorsedFrom"": ""2004-03-12"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR - Public Ancillary Fund"", ""itemNumber"": ""Item 2""}",,,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2019-01-14"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2004-03-12"", ""effectiveTo"": ""0001-01-01""}]"
55961403140,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,"{""endorsedFrom"": ""2000-07-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}","{""organisationName"": ""RIDING FOR THE DISABLED ASSOCIATION (N.S.W.) -THE TUMUT GROUP"", ""effectiveFrom"": ""2000-11-14""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2000-11-14"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Exemption"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
58094713742,Y,0001-01-01,Active,2000-05-15,0001-01-01,COP,Co-operative,Registered,2012-12-03,0001-01-01,2025-06-03,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}",,"{""organisationName"": ""TUMUT PRE SCHOOL"", ""effectiveFrom"": ""2000-05-15""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2017-04-28"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
82934040311,Y,0001-01-01,Active,2000-06-17,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2024-01-31,,"{""endorsedFrom"": ""2024-01-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}","{""organisationName"": ""TUMUT ART SOCIETY INC"", ""effectiveFrom"": ""2000-06-17""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2014-12-07"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
49723948075,Y,0001-01-01,Active,2000-06-14,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}",,"{""organisationName"": ""ALL SAINTS ANGLICAN CHURCH OF AUSTRALIA TUMUT"", ""effectiveFrom"": ""2000-06-14""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2720"", ""effectiveFrom"": ""2017-06-29"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
